dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
1.0	22006	31560	21982	31524
1.0	185672	258098	101202	141524
1.0	50899	72371	50898	72370
1.0	139291	194149	74909	106564
1.0	82016	116446	81908	116337
0.9179487179487179	193545	269067	180953	251406
1.0	228328	316206	189437	262977
1.0	216261	300796	171477	238918
1.0	245181	340488	240003	333007
1.0	204998	284556	135651	189143
1.0	164067	228621	143412	200031
1.0	180969	251431	50500	71903
0.9641025641025641	40493	57757	20727	29801
0.9538461538461539	177939	247389	50505	71908
1.0	140876	196565	140751	196435
1.0	213032	296047	213017	296032
0.9076923076923077	151437	211103	38872	55585
0.9692307692307692	191364	266068	134442	187533
0.8923076923076924	166694	232281	166680	232266
1.0	105775	147786	63917	90629
1.0	106693	149022	106662	148991
1.0	160579	223876	140514	196139
1.0	229907	318352	107653	150526
0.9435897435897436	159452	222190	9548	14004
1.0	149430	208335	15275	22077
1.0	125290	174802	72690	103294
1.0	244698	339714	218769	304015
1.0	235192	326508	69874	98533
0.9487179487179487	174374	242992	134427	187518
1.0	149431	208336	15276	22078
0.9487179487179487	244629	339532	224200	311195
1.0	236888	328891	236780	328783
1.0	61610	87670	61574	87634
0.9487179487179487	240754	334177	51343	72960
1.0	101382	141799	101356	141773
0.9538461538461539	246837	342570	47813	68223
1.0	211314	293506	203149	282054
1.0	139902	195150	98156	137051
1.0	180961	251417	107334	150008
0.9948717948717949	130105	181545	130078	181510
1.0	112838	157493	25453	36317
1.0	247313	343150	247275	343110
1.0	57876	82304	57834	82260
1.0	27342	38735	18449	26809
0.9538461538461539	237149	329152	30990	44227
1.0	62371	88639	62166	88386
1.0	247924	344094	226880	314479
1.0	156715	218680	62714	89144
0.9846153846153847	221058	307128	47107	67419
1.0	118635	165608	39065	55833
0.8923076923076924	195298	271385	70348	99343
1.0	29782	42489	29772	42478
1.0	237575	329701	152665	212807
0.9384615384615385	247772	343859	61677	87757
1.0	114052	159287	113955	159190
1.0	122981	171727	77781	110460
1.0	215933	300310	179945	250047
1.0	247313	343150	247295	343131
1.0	203421	282440	137647	191956
1.0	129558	180861	129462	180753
1.0	197	198	102	102
0.8974358974358975	245536	341006	2168	3123
1.0	207639	288220	207505	288068
1.0	222610	309082	183348	254932
1.0	177344	246750	127262	177584
1.0	125290	174802	7250	10765
1.0	57876	82304	57846	82272
1.0	217931	303002	217890	302940
0.9230769230769231	248966	345576	106907	149355
1.0	124038	172971	124021	172950
0.9128205128205128	198546	275946	198522	275922
1.0	42770	61112	42754	61095
1.0	43314	61839	43271	61785
1.0	176162	245299	119940	167240
0.9230769230769231	23017	32989	23014	32986
0.9743589743589743	221053	307123	80198	113946
1.0	28007	39872	28004	39869
1.0	248999	345762	22201	31913
1.0	74207	105515	74190	105498
1.0	226020	313341	226000	313320
1.0	28007	39872	28000	39865
1.0	100496	140499	27644	39331
1.0	195422	271548	195414	271538
1.0	220802	306848	194582	270417
1.0	235424	326863	207971	288716
1.0	175821	244864	66567	94181
1.0	139268	194042	21372	30768
1.0	161492	225069	66633	94263
1.0	152592	212714	152564	212669
1.0	122718	171234	101598	142057
0.9948717948717949	146418	204103	32375	46090
1.0	172265	239976	141775	197845
0.9179487179487179	115713	161348	84525	119728
0.9333333333333333	144675	201713	65963	93341
0.9948717948717949	155416	216703	25967	36946
1.0	41312	58770	41270	58727
0.9282051282051282	213781	297077	1820	2644
1.0	230509	319154	230473	319116
1.0	21452	30857	9534	13988
1.0	161056	224600	79204	112589
1.0	201691	280136	153055	213302
1.0	100052	139814	99942	139693
1.0	214182	297715	105781	147825
1.0	190595	264924	190526	264853
1.0	151910	211760	151901	211751
1.0	85449	120804	85234	120571
1.0	122498	170922	122488	170911
0.9076923076923077	84136	119021	75548	107447
1.0	23245	33295	23236	33286
1.0	152592	212714	152587	212709
1.0	184041	256053	104158	145669
1.0	243915	338609	211278	293455
1.0	77844	110642	77841	110639
1.0	243920	338616	211296	293479
0.9128205128205128	127963	178600	113628	158542
1.0	247366	343214	165559	230670
1.0	192279	267388	192278	267387
1.0	218985	304264	218945	304224
1.0	139282	194096	17107	24752
0.9538461538461539	142125	198304	38956	55680
1.0	114188	159429	114108	159345
1.0	145822	203188	96455	134551
1.0	74922	106625	61969	88168
1.0	90744	127424	90665	127343
0.9487179487179487	152289	212292	93778	131124
0.9435897435897436	223061	309648	99505	139038
1.0	186610	259309	32082	45705
1.0	185716	258145	185584	258007
1.0	132112	184311	101025	141322
1.0	189039	262535	46039	65714
1.0	145743	203092	122999	171749
1.0	242288	336391	157608	219929
0.9128205128205128	185185	257521	13310	19180
1.0	149900	208923	149878	208881
1.0	119503	166690	46061	65777
1.0	108209	151249	108169	151204
1.0	227330	314971	227325	314964
1.0	143488	200117	81898	116327
0.9641025641025641	136034	189650	93593	130920
1.0	227330	314971	227328	314968
1.0	227330	314971	227329	314970
1.0	147332	205267	147266	205201
1.0	112686	157192	9631	14091
1.0	28462	40410	7317	10955
1.0	212341	295068	212302	295029
1.0	43684	62254	43644	62214
0.9230769230769231	178632	248332	80109	113857
1.0	233046	323000	232999	322951
1.0	236158	328078	236148	328068
1.0	192907	268279	192902	268274
1.0	197	198	129	129
1.0	174652	243367	102051	142636
1.0	129284	180420	129270	180405
1.0	78438	111554	59063	84076
1.0	143488	200117	81892	116321
1.0	174652	243367	102058	142644
1.0	184022	255978	62159	88379
1.0	59663	84931	52286	74397
0.9538461538461539	90361	127018	90315	126972
1.0	104158	145669	46057	65762
1.0	232487	322289	232310	322107
0.8923076923076924	198546	275946	198539	275939
0.9179487179487179	198546	275946	198537	275937
1.0	62163	88383	6957	10347
1.0	236814	328817	236786	328789
1.0	143355	199968	62663	89091
1.0	206074	286024	206064	286014
1.0	183251	254830	122710	171225
1.0	74388	105745	74379	105734
0.9641025641025641	136034	189650	93548	130875
1.0	69730	98269	69704	98243
1.0	136339	190177	114530	159796
1.0	85487	120844	85022	120355
0.9743589743589743	90361	127018	90345	127002
1.0	187311	260211	9549	14005
1.0	198939	276455	183258	254837
1.0	71869	101834	71860	101813
1.0	199661	277334	199656	277329
1.0	180970	251432	77791	110504
1.0	171879	239523	107429	150147
1.0	186466	259132	89983	126604
0.9025641025641026	59629	84878	29403	41748
1.0	190432	264694	190428	264690
1.0	200895	279228	200807	279136
1.0	67643	95673	67496	95512
1.0	216635	301229	216588	301181
1.0	81772	116145	81763	116136
1.0	122312	170648	112656	157107
1.0	50337	71739	50254	71649
1.0	134297	187370	134249	187322
0.9179487179487179	214390	298169	92279	129415
1.0	211850	294341	211773	294264
1.0	127995	178655	127985	178645
0.9897435897435898	140053	195399	140052	195398
1.0	62714	89144	47318	67727
1.0	201674	280087	195854	272209
1.0	211286	293465	203159	282065
1.0	84117	119001	13321	19191
0.9076923076923077	217178	301964	64382	91210
0.958974358974359	245830	341329	190443	264722
1.0	153417	213787	153383	213751
0.9435897435897436	224929	312027	70423	99418
0.9128205128205128	247919	344084	222037	308272
1.0	220424	306283	36249	52005
1.0	165391	230483	30652	43690
1.0	127995	178655	127993	178653
1.0	190216	264159	91323	128293
0.9435897435897436	199409	277037	199318	276942
1.0	233038	322992	233026	322980
1.0	64654	91605	64651	91601
1.0	123798	172625	123729	172555
0.9794871794871794	191886	266801	191884	266799
1.0	227306	314944	227016	314628
1.0	93599	130927	93519	130845
1.0	136406	190259	46028	65690
1.0	243965	338678	203182	282098
1.0	95425	133219	86618	122235
1.0	248964	345560	96559	134696
1.0	212775	295669	105182	146958
1.0	157833	220208	157756	220127
